"","id","choiceNum","candNum","college","exp","job","photo","preference","Y"
"101","R_1CEAYwHBzUXmESO","1","1","University of San Diego","7","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_bfLgiz3PCecGQUm",1,1
"102","R_1CEAYwHBzUXmESO","1","2","Stanford University","7","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_9XIV7ZA7KxN14d8",1,0
"103","R_1CEAYwHBzUXmESO","2","1","University of California, Berkeley","7","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5gOTDFWyN2zacxo",2,0
"104","R_1CEAYwHBzUXmESO","2","2","Virginia Tech","6","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_eVguHXYRonZ49Uy",2,1
"105","R_1CEAYwHBzUXmESO","3","1","Stanford University","5","Consultant","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_etdZqCkC2u8G54G",2,0
"106","R_1CEAYwHBzUXmESO","3","2","Stanford University","7","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_dpcVkGvoMlgxoea",2,1
"107","R_1CEAYwHBzUXmESO","4","1","Virginia Tech","7","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_02lAEZ1SHvLxX5Y",1,1
"108","R_1CEAYwHBzUXmESO","4","2","George Washington University","5","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6JM7n0RVYqtN1zw",1,0
"109","R_1CEAYwHBzUXmESO","5","1","Boston University","7","Sales Representative","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_021VYSvq7rnzo4m",2,0
"110","R_1CEAYwHBzUXmESO","5","2","Virginia Tech","7","Data Analyst","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6mvuYdAleMG3wFM",2,1
"111","R_1CwjuSjK4AvNqgw","1","1","University of California, Berkeley","7","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_021VYSvq7rnzo4m",1,1
"112","R_1CwjuSjK4AvNqgw","1","2","University of California, Berkeley","7","Data Analyst","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3DXk3W7oL7jwkjI",1,0
"113","R_1CwjuSjK4AvNqgw","2","1","Stanford University","7","Data Analyst","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_01WTwDYVJBMeihg",1,1
"114","R_1CwjuSjK4AvNqgw","2","2","University of San Diego","5","Data Analyst","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_9XIV7ZA7KxN14d8",1,0
"115","R_1CwjuSjK4AvNqgw","3","1","George Washington University","7","Data Analyst","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_6mvuYdAleMG3wFM",2,0
"116","R_1CwjuSjK4AvNqgw","3","2","Boston University","7","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_5AVDqNqPEZGc7ZA",2,1
"117","R_1CwjuSjK4AvNqgw","4","1","Stanford University","6","Consultant","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_40e71B6xMbE64jc",2,0
"118","R_1CwjuSjK4AvNqgw","4","2","Stanford University","7","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_3IY84n5aG3tMFJI",2,1
"119","R_1CwjuSjK4AvNqgw","5","1","George Washington University","5","Software Engineer","https://berkeley.qualtrics.com/WRQualtricsControlPanel/Graphic.php?IM=IM_7QHyroqODLZB42i",2,0
